code,p17hong,p17yoo,p17the,p17han,p17kuk,p17jung,p17valid,p16the,p16han,p16kuk,p16jung,p16valid,r17han,r17the,r17hong,r17kuk,r17yoo,r17jung,r16the,r16han,r16kuk,r16jung,d_the,d_han,d_kuk,d_jung,win17r,winner17,wingap17,sec17r,sec17,third17r,third17,forth17r,forth17,last17r,last17
1101053,1617,455,2146,2072,1161,366,5770,1180,1983,1291,468,5284,0.359098787,0.371923744,0.280242634,0.201213172,0.078856153,0.063431542,0.238701209,0.401139404,0.261155305,0.094671327,0.133222535,-0.042040617,-0.059942134,-0.031239784,0.371923744,1,0.091681109,0.280242634,2,0.201213172,3,0.078856153,4,0.063431542,5
1101054,456,113,617,569,316,131,1650,337,577,327,152,1518,0.344848485,0.373939394,0.276363636,0.191515152,0.068484848,0.079393939,0.239431356,0.409946268,0.232326568,0.107992778,0.134508038,-0.065097783,-0.040811416,-0.028598838,0.373939394,1,0.097575758,0.276363636,2,0.191515152,3,0.079393939,5,0.068484848,4
1101055,1502,429,2354,1931,1139,441,5904,1365,1851,1166,604,5396,0.327066396,0.398712737,0.254403794,0.192920054,0.072662602,0.074695122,0.271958129,0.368787177,0.232310021,0.120338982,0.126754608,-0.041720782,-0.039389967,-0.04564386,0.398712737,1,0.144308943,0.254403794,2,0.192920054,3,0.074695122,5,0.072662602,4
1101056,3362,917,3762,4279,2087,659,10844,2202,3716,2140,874,9779,0.39459609,0.346919956,0.310033198,0.192456658,0.084562892,0.060770933,0.245233485,0.413845427,0.238328637,0.097336088,0.101686471,-0.019249337,-0.045871979,-0.036565155,0.346919956,1,0.036886758,0.310033198,2,0.192456658,3,0.084562892,4,0.060770933,5
1101057,1047,366,1953,1413,1098,291,4773,1119,1447,1158,411,4419,0.296040226,0.409176618,0.219358894,0.230043997,0.076681332,0.060967945,0.269596134,0.348619844,0.278992246,0.099020564,0.139580485,-0.052579618,-0.048948248,-0.038052619,0.409176618,1,0.179132621,0.230043997,3,0.219358894,2,0.076681332,4,0.060967945,5
1101058,802,258,1507,1060,939,212,3738,649,689,518,149,2193,0.283574104,0.403156768,0.214553237,0.251203852,0.069020867,0.056714821,0.32195888,0.341802263,0.256971803,0.0739166,0.081197888,-0.058228159,-0.00576795,-0.017201779,0.403156768,1,0.151952916,0.251203852,3,0.214553237,2,0.069020867,4,0.056714821,5
1101060,722,170,1219,892,579,182,2893,713,928,594,264,2724,0.308330453,0.421361908,0.249567923,0.200138265,0.05876253,0.062910474,0.283243059,0.368652957,0.235969673,0.10487541,0.138118849,-0.060322504,-0.035831408,-0.041964937,0.421361908,1,0.171793985,0.249567923,2,0.200138265,3,0.062910474,5,0.05876253,4
1101061,1100,228,1311,1328,838,181,3673,857,1331,884,218,3511,0.36155731,0.356928941,0.299482712,0.228151375,0.062074598,0.049278519,0.259422534,0.402907109,0.267595706,0.065990796,0.097506407,-0.041349799,-0.039444331,-0.016712277,0.356928941,1,0.057446229,0.299482712,2,0.228151375,3,0.062074598,4,0.049278519,5
1101063,795,199,1132,994,811,146,3101,752,912,698,151,2710,0.320541761,0.365043534,0.256368913,0.261528539,0.064172847,0.047081587,0.297506946,0.360806297,0.276143416,0.059738762,0.067536588,-0.040264536,-0.014614877,-0.012657175,0.365043534,1,0.103514995,0.261528539,3,0.256368913,2,0.064172847,4,0.047081587,5
1101064,921,364,2335,1285,1077,366,5084,1432,1183,1155,467,4552,0.252753737,0.459284028,0.18115657,0.21184107,0.071597168,0.071990559,0.336578941,0.278053692,0.27147254,0.109764222,0.122705087,-0.025299955,-0.05963147,-0.037773663,0.459284028,1,0.247442958,0.21184107,3,0.18115657,2,0.071990559,5,0.071597168,4
